status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Connecticut state scientists urge property owners to inspect trees, particularly maples, for possible spread from New York and Long Island of destructive Asian long-horned beetles; photo (M)",https://www.nytimes.com/2000/05/28/nyregion/keeping-an-eye-out-for-beetles.html,"Connecticut state scientists urge property owners to inspect trees, particularly maples, for possible spread from New York and Long Island of destructive Asian long-horned beetles; photo (M)","BECAUSE the Asian long-horned beetle has been found to be spreading in the New York metropolitan area, Connecticut state scientists are urging property owners to inspect their trees, particularly their maple trees, for the beetles.",CN,14,The New York Times,,,2000-05-28T05:00:00+0000,article,Connecticut Weekly Desk,New York,News,nyt://article/46555c86-10b6-51fa-971c-3ef98fd23994,1007,nyt://article/46555c86-10b6-51fa-971c-3ef98fd23994,NA,Keeping an Eye Out for Beetles,NA,NA,Keeping an Eye Out for Beetles,NA,NA,NA,By Sam Libby,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"New York City officials, three years after first Asian longhorned beetles were found in Greenpoint, Brooklyn, say that chances of eradicating what has become city's most insidious killer of trees remains remote; announces broad new assault on beetles for this summer; map; photo (M)",https://www.nytimes.com/2000/04/12/nyregion/10-million-earmarked-to-fight-beetles.html,"New York City officials, three years after first Asian longhorned beetles were found in Greenpoint, Brooklyn, say that chances of eradicating what has become city's most insidious killer of trees remains remote; announces broad new assault on beet...","Three years after the first Asian longhorned beetles were found in Greenpoint, Brooklyn, city officials said yesterday that the chances of eradicating what has become the city's most insidious killer of trees remained remote, and announced a broad new assault on the beetles for this summer.",B,3,The New York Times,,,2000-04-12T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/dcfd34fc-193e-52f4-9d7c-f10c6baff127,591,nyt://article/dcfd34fc-193e-52f4-9d7c-f10c6baff127,NA,$10 Million Earmarked to Fight Beetles,NA,NA,$10 Million Earmarked to Fight Beetles,NA,NA,NA,By Thomas J. Lueck,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  THE Japanese beetles are back on the rose bushes, and the beetle war gets entomologists pretty fired up.   ""Anything I can do to kick the Japanese beetle in the head, I enjoy doing,"" said T. L. Ladd, an entomologist at the United States Department of Agriculture and one of the patent holders for the original beetle trap.",https://www.nytimes.com/1992/07/26/style/cuttings-it-s-beetle-time-how-goes-the-war.html,,"THE Japanese beetles are back on the rose bushes, and the beetle war gets entomologists pretty fired up.",9,16,The New York Times,,,1992-07-26T05:00:00+0000,article,Styles of The Times,Style,News,nyt://article/ba1b343d-3611-5404-9ca3-a5c1a78fd604,1173,nyt://article/ba1b343d-3611-5404-9ca3-a5c1a78fd604,NA,It's Beetle Time. How Goes the War?,CUTTINGS,NA,CUTTINGS; It's Beetle Time. How Goes the War?,NA,NA,NA,By Anne Raver,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Over 500 trees in Brooklyn will be destroyed to halt spread of Asian long-horned beetles, a imported species with no natural predators in North America; eradication effort here and a smaller one in Amityville, LI, where a more limited beetle infestation has been discovered, are timed for midwinter, when beetle larvae are dormant (M)",https://www.nytimes.com/1996/12/25/nyregion/brooklyn-trees-to-be-felled-to-destroy-invading-beetles.html,"Over 500 trees in Brooklyn will be destroyed to halt spread of Asian long-horned beetles, a imported species with no natural predators in North America; eradication effort here and a smaller one in Amityville, LI, where a more limited beetle infes...","The whine of chain saws and wood chippers will soon fill the air in Greenpoint, Brooklyn, as hundreds of trees are cut down in the hope of eradicating a beetle that could ruin many woodlands in the Northeast if left unchecked.",B,3,The New York Times,,,1996-12-25T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/59972a8f-106a-5a47-b17c-01135f690a3f,806,nyt://article/59972a8f-106a-5a47-b17c-01135f690a3f,NA,Brooklyn Trees to Be Felled To Destroy Invading Beetles,NA,NA,Brooklyn Trees to Be Felled To Destroy Invading Beetles,NA,NA,NA,By David Stout,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Believed to be nearly eradicated, the voracious Asian long-horned beetle has been found in hundreds of trees in Long Island.",https://www.nytimes.com/2014/09/30/nyregion/thousands-of-trees-will-fall-in-a-renewed-battle-to-stop-a-beetle.html,"Believed to be nearly eradicated, the voracious Asian long-horned beetle has been found in hundreds of trees in Long Island.","It is a menace from Asia that over the past two decades has ravaged tens of thousands of trees in several states. But after being wiped out in New Jersey, it seemed to be in retreat in New York thanks to a warlike response from federal and state governments. It was gone from Staten Island and Manhattan, and the battle against it was tilting toward eradication in Queens, in Brooklyn and on Long Island.",A,19,The New York Times,,,2014-09-30T01:55:49+0000,article,Metro,New York,News,nyt://article/a9d29f95-a57f-5ce7-84ea-d232c86352b0,987,nyt://article/a9d29f95-a57f-5ce7-84ea-d232c86352b0,NA,"Once Considered Won, Battle Against Invasive Beetles Is Renewed ",NA,NA,"Considered Won, Fight vs. Beetles Is Renewed",NA,NA,NA,By Paul Glader,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Small, black, tree-killing beetle finds its way to Chicago, where agriculture officials say it has infested hundreds of trees; it was first detected in New York more than two years ago; quarantine area of more than 15 square miles is set up in Chicago, where officials feel they have caught problem relatively early; in New York, beetle is believed to have had three to four years to spread before it was first detected; since discovery, more than 2,400 trees have been destroyed in New York (M)",https://www.nytimes.com/1998/11/08/us/small-but-voracious-beetle-threatens-chicago-s-trees.html,"Small, black, tree-killing beetle finds its way to Chicago, where agriculture officials say it has infested hundreds of trees; it was first detected in New York more than two years ago; quarantine area of more than 15 square miles is set up in Chi...","A small, black, tree-killing beetle, first detected in New York more than two years ago, has found its way to Chicago, where agriculture officials say it has infested hundreds of trees. It is only the second known infestation in the United States.",1,37,The New York Times,,,1998-11-08T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/fcc04be4-11b9-5924-815f-010afafa2ce4,583,nyt://article/fcc04be4-11b9-5924-815f-010afafa2ce4,NA,Small but Voracious Beetle Threatens Chicago's Trees,NA,NA,Small but Voracious Beetle Threatens Chicago's Trees,NA,NA,NA,NA,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Asian longhorned beetles, which have destroyed thousands of trees in New York City and Chicago, have been found on nine-acre plot in Jersey City (S)",https://www.nytimes.com/2002/10/12/nyregion/tree-munching-asian-beetles-are-discovered-in-jersey-city.html,"Asian longhorned beetles, which have destroyed thousands of trees in New York City and Chicago, have been found on nine-acre plot in Jersey City (S)","A wood-munching beetle that has destroyed thousands of trees in New York City and Chicago has been found in New Jersey, causing concern that its damage may spread.",B,4,The New York Times,,,2002-10-12T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/752b76e0-bb8f-5184-b95d-0856c5fd4ed9,519,nyt://article/752b76e0-bb8f-5184-b95d-0856c5fd4ed9,NA,Tree-Munching Asian Beetles Are Discovered in Jersey City,NA,NA,Tree-Munching Asian Beetles Are Discovered in Jersey City,NA,NA,NA,NA,,NA,358,20,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Public Lives profile of USDA's Joseph P Gittleman, who is charged with eradication of Asian longhorn beetle in New York City; photo (M)",https://www.nytimes.com/2002/02/22/nyregion/public-lives-beetles-threatening-our-forests-this-is-personal.html,"Public Lives profile of USDA's Joseph P Gittleman, who is charged with eradication of Asian longhorn beetle in New York City; photo (M)",THERE'S no missing what they apparently believe to be Enemy No. 1 at the United States Department of Agriculture offices in Lower Manhattan.,B,2,The New York Times,,,2002-02-22T05:00:00+0000,article,Metropolitan Desk,New York,Biography,nyt://article/51bd2552-dbbc-5404-9128-cc1b3a91ed47,884,nyt://article/51bd2552-dbbc-5404-9128-cc1b3a91ed47,NA,Beetles Threatening Our Forests? This Is Personal,PUBLIC LIVES,NA,PUBLIC LIVES; Beetles Threatening Our Forests? This Is Personal,NA,NA,NA,By Joyce Wadler,,NA,358,20,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Officials warn that forests across Northeast could be in danger if latest infestation of Asian longhorned beetle is not checked; New York City announces that 12 infested trees have been found on golf course in Queens; Federal officials say it is part of larger infestation in that borough; photo (M),https://www.nytimes.com/2003/04/23/nyregion/asian-longhorned-beetle-threatens-trees-in-queens.html,Officials warn that forests across Northeast could be in danger if latest infestation of Asian longhorned beetle is not checked; New York City announces that 12 infested trees have been found on golf course in Queens; Federal officials say it is p...,"The Asian longhorned beetle has plagued thousands of New York City trees over the last few years, emerging most recently in Queens. But officials said yesterday that if the latest wave of infestation is not checked, forests across the Northeast could be in danger.",B,3,The New York Times,,,2003-04-23T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/cdd6b443-43cb-5d10-ab15-2d82cb75884c,735,nyt://article/cdd6b443-43cb-5d10-ab15-2d82cb75884c,NA,Asian Longhorned Beetle Threatens Trees in Queens,NA,NA,Asian Longhorned Beetle Threatens Trees in Queens,NA,NA,NA,By Corey Kilgannon,,NA,358,20,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Much-feared Asian long-horned beetle is munching on maple and chestnut trees in Sunnyside, Ridgewood and Woodside, Queens, after chewing up nearly every maple and horse chestnut tree in Greenpoint, Brooklyn, two years ago; photo (M)",https://www.nytimes.com/1998/04/03/nyregion/tree-eating-beetles-and-the-battle-to-stop-them-move-to-queens.html,"Much-feared Asian long-horned beetle is munching on maple and chestnut trees in Sunnyside, Ridgewood and Woodside, Queens, after chewing up nearly every maple and horse chestnut tree in Greenpoint, Brooklyn, two years ago; photo (M)",The much-feared Asian long-horned beetle has discovered something that many New Yorkers already knew: life is good in Queens.,B,3,The New York Times,,,1998-04-03T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/a246305e-78d3-58a0-a4c4-721637d1ddd2,595,nyt://article/a246305e-78d3-58a0-a4c4-721637d1ddd2,NA,"Tree-Eating Beetles, and the Battle to Stop Them, Move to Queens",NA,NA,"Tree-Eating Beetles, and the Battle to Stop Them, Move to Queens",NA,NA,NA,By Nichole M. Christian,,NA,358,20,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"State of New Jersey issues alert for destructive Asian long-horned beetle, which have been found in parts of Brooklyn and Long Island and which ravages maple and horse chestnut trees; photos (M)",https://www.nytimes.com/1996/11/24/nyregion/knocking-on-the-door-a-tree-eating-beetle-that-will-stay-for-dinner.html,"State of New Jersey issues alert for destructive Asian long-horned beetle, which have been found in parts of Brooklyn and Long Island and which ravages maple and horse chestnut trees; photos (M)",George Koeck wasn't frightened until he saw the pictures.,NJ,13,The New York Times,,,1996-11-24T05:00:00+0000,article,New Jersey Weekly Desk,New York,News,nyt://article/f2b30242-bed0-5c94-9abd-74065099a40a,814,nyt://article/f2b30242-bed0-5c94-9abd-74065099a40a,NA,Knocking on the Door: A Tree-Eating Beetle That Will Stay for Dinner,THE GREAT OUTDOORS,NA,Knocking on the Door: A Tree-Eating Beetle That Will Stay for Dinner,NA,NA,NA,By Kit R. Roane,,NA,358,20,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"NYC Parks Comr Henry J Stern says that for second time this summer Asian long-horned beetle has been found in an area previously thought to be uninfested; says beetle, which has destroyed nearly 3,000 city trees, was discovered last week in Queens Zoo in Flushing Meadows-Corona Park; photo (M)",https://www.nytimes.com/2000/08/01/nyregion/tree-killing-asian-beetle-spreads-to-new-area-of-queens.html,"NYC Parks Comr Henry J Stern says that for second time this summer Asian long-horned beetle has been found in an area previously thought to be uninfested; says beetle, which has destroyed nearly 3,000 city trees, was discovered last week in Queens...","For the second time this summer, the Asian long-horned beetle has been found in an area previously thought to be uninfested, Parks Commissioner Henry J. Stern said yesterday. The beetle, which has destroyed nearly 3,000 city trees, was discovered last week in the Queens Zoo in Flushing Meadows-Corona Park.",B,3,The New York Times,,,2000-08-01T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/fad1286e-6ad7-5e67-9bee-cb3ccfa434ae,541,nyt://article/fad1286e-6ad7-5e67-9bee-cb3ccfa434ae,NA,Tree-Killing Asian Beetle Spreads to New Area of Queens,NA,NA,Tree-Killing Asian Beetle Spreads to New Area of Queens,NA,NA,NA,By Shaila K. Dewan,,NA,358,20,48
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"A free market defender, dislocated by Colorado fires, uses the tactics she criticizes in others in commenting on the disaster.",https://dotearth.blogs.nytimes.com/2012/07/07/blame-ologists-and-the-colorado-fires/,"A free market defender, dislocated by Colorado fires, uses the tactics she criticizes in others in commenting on the disaster.","Michelle Malkin, a conservative commentator and columnist temporarily dislocated by Colorado’s devastating fires, wrote a sharp attack on “global warming blame-ologists” that mirrors a habit of some of the greens she targets: selective citation.",NA,NA,The New York Times,,,2012-07-07T14:13:03+0000,article,,Opinion,News,nyt://article/825f4c7a-5e72-5514-82ef-f4b5bd33164b,611,nyt://article/825f4c7a-5e72-5514-82ef-f4b5bd33164b,NA,‘Blame-ologists’ and the Colorado Fires,Dot Earth,NA,NA,NA,NA,NA,By Andrew C. Revkin,,NA,358,20,48
